+-------------+--------------+-----------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                 | Release Date   |
| Lopez       | Sophia       | Dreams of Isolated Brookside Meadows                                  | 1903-03-01     |
| Torres      | Ethan        | Chronicles of William Carter                                          | 1984-08-20     |
| Martinez    | Emily        | Curse of Vintage Rivertown Crossing                                   | 1967-03-21     |
| Martin      | Elijah       | In the Shadow of Birchwood Springs                                    | 1909-08-09     |
| Hall        | Ethan        | Echoes of Lily Anderson                                               | 1965-11-13     |
| Parker      | Harper       | Dreams of Cosmopolitan Exotic Sprawling Redwood Ridge                 | 1943-03-15     |
| Sanchez     | Zoe          | William Carter's Inviting Inviting Tranquil Sunflower Valley          | 1998-08-11     |
| Peterson    | Alexander    | Journey to Remote Vintage Evergreen Valley                            | 1953-03-19     |
| Lee         | Liam         | Journey through Remote Remote Crestwood Hills                         | 1980-01-03     |
| Wood        | Ava          | Chronicles Charming Wonderful Vibrant Brookside Haven                 | 1924-10-16     |
| Williams    | Ella         | Whispering Lucas Thornton                                             | 1959-12-11     |
| Patel       | William      | Beyond the Isabella Montgomery                                        | 1909-05-15     |
| Edwards     | Alexander    | Dreams of Isabella Montgomery                                         | 1947-11-17     |
| Collins     | Samuel       | Olivia Bennett's Sunflower Valley                                     | 1956-12-23     |
| Lopez       | Natalie      | Elijah Turner's Greenbriar Estates                                    | 1984-03-18     |
| Gray        | Sophia       | Legacy of Welcoming Modern Meadowview Heights                         | 1983-10-05     |
| Cook        | Amelia       | Ava Harrison's Pristine Golden Valley Meadows                         | 1940-04-16     |
| Rivera      | Jackson      | Rise of Secluded Scenic Redwood Ridge                                 | 1956-04-13     |
| Ortiz       | Caleb        | Mia Sullivan's Colorful Isolated Scenic Crestview Heights             | 1932-02-16     |
| Morgan      | Mason        | Benjamin Mitchell's Rural Willowbrook Grove                           | 1917-01-10     |
| Howard      | Benjamin     | Voyage to Grace Mitchell                                              | 1932-04-01     |
| Rogers      | Zoe          | Midnight Hidden Captivating Colorful Ashwood Terrace                  | 2002-11-04     |
| Campbell    | Elijah       | Legends of Artistic Stonebridge Ridge                                 | 1990-04-22     |
| Gonzales    | Sophia       | Songs of Enigmatic Exotic Autumnwood Grove                            | 2009-07-17     |
| Nguyen      | Scarlett     | Hidden Meadowview Heights                                             | 1952-04-24     |
| Phillips    | Liam         | Destiny's Evergreen Valley                                            | 1935-05-01     |
| Stewart     | Ella         | Grace Mitchell's Isolated Serene Springvale Meadows                   | 1921-08-16     |
| Adams       | James        | Adventures in Sophia Parker                                           | 1992-04-22     |
| Baker       | Noah         | Forgotten Timeless Pristine Urban Willowbrook Park                    | 1966-08-09     |
| Jones       | Michael      | Benjamin Mitchell's Pristine Rural Millstone Meadows                  | 2019-02-19     |
| Parker      | Mia          | Secrets of Hidden Cosmopolitan Quaint Birchwood Springs               | 1999-05-14     |
| Young       | Lily         | Secrets in the Idyllic Lush Silverlake Springs                        | 2007-04-08     |
| Ortiz       | William      | Legacy from Ancient Pinehurst Park                                    | 1903-10-10     |
| Jones       | Grace        | Dragon's Hidden Solitary Willowridge Crossing                         | 1991-02-21     |
| Watson      | Jackson      | Ethan Wells's Exotic Remote Vintage Brookside Haven                   | 1985-05-11     |
| Robinson    | Charlotte    | City of Caleb Reynolds                                                | 1962-06-22     |
| Johnson     | Isabella     | King's Sophia Parker                                                  | 1959-01-02     |
| Harris      | Michael      | Lost in Time Modern Serene Birchwood Springs                          | 1936-12-17     |
| Howard      | Daniel       | City of Coastal Hillcrest Glen                                        | 1927-08-12     |
| James       | Jackson      | Olivia Bennett's Pictorial Captivating Charming Oakridge Bluffs       | 1992-07-10     |
| Garcia      | Jackson      | Starlight Olivia Bennett                                              | 1901-10-24     |
| Long        | Amelia       | Lost and Found William Carter                                         | 1934-03-19     |
| Gomez       | Sophia       | Benjamin Mitchell's Crestview Heights                                 | 2010-03-05     |
| Long        | Amelia       | Lost and Found William Carter                                         | 1987-01-05     |
| Cook        | Victoria     | Journey to Ava Harrison                                               | 1975-12-22     |
| Kim         | William      | Ethan Wells's Coastal Cedarwood Heights                               | 1931-05-02     |
| Price       | Grace        | Henry Crawford's Whispering Pines                                     | 2014-08-19     |
| Hughes      | Sophia       | Voyage to Welcoming Brookside Haven                                   | 2007-07-21     |
| Ramos       | Andrew       | Voyage to Isabella Montgomery                                         | 1968-08-20     |
| Rivera      | David        | Curse of Captivating Vintage Urban Ashwood Terrace                    | 1918-08-07     |
| Johnson     | Caleb        | Dragon's Elijah Turner                                                | 2008-04-23     |
| Cox         | Abigail      | Guardians of Harper Nelson                                            | 2019-12-02     |
| Phillips    | Daniel       | Hidden Ancient Redwood Ridge                                          | 1959-06-11     |
| Gutierrez   | Sophia       | Mystery Lily Anderson                                                 | 1921-08-18     |
| Green       | Andrew       | Ava Harrison's Welcoming Enchanting Vintage Sunflower Valley          | 1976-11-19     |
| Morris      | Mason        | Dragon's Lakeside Terrace                                             | 1908-12-12     |
| Evans       | Harper       | Gates of Caleb Reynolds                                               | 1956-02-10     |
| Mendoza     | Olivia       | Starlight Benjamin Mitchell                                           | 1936-03-07     |
| Ward        | Sophia       | Dragon's Contemporary Scenic Sunflower Valley                         | 1948-02-22     |
| Morales     | Noah         | Echoes of Brookside Haven                                             | 1939-05-07     |
| Brown       | William      | Chronicles from Coastal Quaint Woodland Park                          | 1986-08-09     |
| Gomez       | Michael      | Adventures in Ava Harrison                                            | 1950-02-02     |
| Hughes      | Michael      | Ethan Wells's Pinecrest Pines                                         | 2010-08-18     |
| Hall        | Ethan        | Echoes of Lily Anderson                                               | 1967-03-07     |
| Mendoza     | William      | William Carter's Sprawling Pristine Willowbrook Park                  | 1951-09-18     |
| Gray        | Elijah       | Ancient Olivia Bennett                                                | 1928-06-09     |
| Miller      | Caleb        | Adventures in Hidden Secluded Brookside Meadows                       | 1930-03-14     |
| Thompson    | Olivia       | Guardians of Woodland Park                                            | 1984-05-10     |
| Phillips    | Daniel       | Hidden Ancient Redwood Ridge                                          | 2012-11-18     |
| Cruz        | Scarlett     | Harper Nelson's Timeless Timeless Millstone Meadows                   | 1990-12-07     |
| Ortiz       | Lily         | Journey to Brookside Haven                                            | 1907-06-23     |
| Mitchell    | Alexander    | Chronicles of the Colorful Riverstone Ranch                           | 1901-10-14     |
| James       | Jackson      | Olivia Bennett's Pictorial Captivating Charming Oakridge Bluffs       | 2000-08-14     |
| Peterson    | Lily         | Elijah Turner's Historical Charming Eclectic Oakridge Bluffs          | 1960-03-19     |
| Turner      | Elizabeth    | Voyage to Exotic Lakeside Terrace                                     | 1921-08-06     |
| Wright      | Elizabeth    | King's Oakridge Bluffs                                                | 1935-02-11     |
| Garcia      | Ella         | Ancient Harper Nelson                                                 | 1999-06-23     |
| Edwards     | Mia          | Chronicles of Ava Harrison                                            | 1908-07-03     |
| Scott       | Sophia       | Echoes of Welcoming Breathtaking Artistic Stonegate Terrace           | 1919-04-13     |
| Kim         | Ava          | Legacy from Pristine Rural Laurelwood Glen                            | 1935-05-10     |
| Ross        | James        | Lily Anderson's Secluded Springvale Meadows                           | 1950-05-08     |
| Robinson    | Sophia       | Secrets of Ancient Solitary Rustic Millstone Meadows                  | 1960-01-21     |
| Hill        | Victoria     | Harper Nelson's Autumnwood Grove                                      | 1957-02-20     |
| Cook        | Elijah       | Secrets of Elijah Turner                                              | 1941-09-11     |
| Brooks      | Michael      | Songs of Autumnwood Grove                                             | 1901-12-04     |
| Mendoza     | Mia          | Mia Sullivan's Willowbrook Grove                                      | 1955-06-06     |
| Bennet      | Victoria     | Isabella Montgomery's Picturesque Secluded Modern Riverstone Ranch    | 1989-11-04     |
| Cox         | Jackson      | Destiny's Millstone Meadows                                           | 1974-05-17     |
| Myers       | Sophia       | Dark Secrets Rural Quaint Bustling Meadowbrook Springs                | 1934-05-23     |
| Torres      | Grace        | Underneath Ethan Wells                                                | 1993-12-05     |
| Stewart     | Michael      | Ava Harrison's Captivating Welcoming Enchanting Harborview Point      | 1952-08-08     |
| Rodriguez   | Lily         | Ethan Wells's Pictorial Springvale Meadows                            | 1950-10-17     |
| Adams       | Lucas        | Mystery Serene Magical Bustling Fairhaven Fields                      | 1955-07-08     |
| Miller      | Mia          | Dreams in the Whispering Pines                                        | 1934-01-04     |
| Rivera      | Ethan        | Chronicles from Charlotte Taylor                                      | 1907-09-20     |
| Flores      | Aiden        | Journey to Alexander Foster                                           | 1943-03-21     |
| Hernandez   | Andrew       | Quest for the Samuel Griffin                                          | 1958-07-04     |
| Anderson    | Zoe          | Rise of Grace Mitchell                                                | 1918-07-01     |
| Hughes      | Abigail      | Chronicles from Ava Harrison                                          | 2004-08-09     |
| Ramos       | Andrew       | Voyage to Isabella Montgomery                                         | 1949-09-03     |
| Scott       | Elizabeth    | King's Alexander Foster                                               | 1944-04-04     |
| Kim         | Ethan        | Daniel Brooks's Historical Colorful Lakeside Terrace                  | 1952-02-19     |
| Lewis       | Daniel       | Grace Mitchell's Modern Tranquil Picturesque Laurelwood Glen          | 1954-05-08     |
| Cook        | Ava          | Journey through Ethan Wells                                           | 1920-02-16     |
| Moore       | Noah         | Starlight Elijah Turner                                               | 1920-09-23     |
| Bailey      | Benjamin     | Destiny's Autumnwood Grove                                            | 1937-01-15     |
| Nguyen      | Harper       | Rise of Charlotte Taylor                                              | 1951-10-11     |
| Ward        | Charlotte    | Hidden Ethan Wells                                                    | 1959-01-11     |
| Cox         | Mia          | Magic Henry Crawford                                                  | 1903-11-23     |
| Jackson     | Mia          | Olivia Bennett's Isolated Riverstone Ranch                            | 1942-10-05     |
| Cox         | Jackson      | Destiny's Millstone Meadows                                           | 1904-02-16     |
| Davis       | Abigail      | Lost in Time Remote Rustic Coastal Maplewood Meadows                  | 1985-03-11     |
| King        | Lucas        | City of Urban Remote Bustling Pinecrest Pines                         | 1992-05-15     |
| Scott       | Mia          | Mystery Charming Cosmopolitan Magical Stonebridge Ridge               | 1994-09-11     |
| Hernandez   | Victoria     | Legacy of Quaint Tranquil Birchwood Springs                           | 1907-12-03     |
| Hall        | Harper       | Rise of Ethan Wells                                                   | 1950-10-21     |
| Gomez       | Daniel       | Charlotte Taylor's Sprawling Serene Vintage Willowridge Crossing      | 1968-08-07     |
| Martin      | Charlotte    | Henry Crawford's Coastal Solitary Autumnwood Grove                    | 1934-12-08     |
| Williams    | Ella         | Whispering Lucas Thornton                                             | 1935-09-08     |
| Bennet      | Alexander    | Bloodlines Elijah Turner                                              | 1947-04-17     |
| Howard      | Grace        | Benjamin Mitchell's Eclectic Rustic Pinecrest Pines                   | 1994-12-22     |
| Moore       | Liam         | Gates of Caleb Reynolds                                               | 1955-06-01     |
| Clark       | Caleb        | Journey to William Carter                                             | 1971-09-16     |
| Gutierrez   | Henry        | Legends of Quaint Millstone Meadows                                   | 2012-09-17     |
| Morales     | Sophia       | Secrets of Remote Birchwood Springs                                   | 2002-05-19     |
| Clark       | William      | City of Magical Whimsical Rivertown Crossing                          | 1909-02-01     |
| Mendoza     | Samuel       | Rise of Benjamin Mitchell                                             | 1933-08-03     |
| Anderson    | Lily         | Guardians of Cosmopolitan Rural Redwood Ridge                         | 1969-03-18     |
| Martin      | Liam         | Songs of Solitary Inviting Laurelwood Glen                            | 2015-09-02     |
| Roberts     | Lily         | Destiny's Mia Sullivan                                                | 2008-01-24     |
| Hall        | Harper       | Rise of Ethan Wells                                                   | 1914-02-18     |
| Anderson    | Grace        | Echoes Elijah Turner                                                  | 1985-05-15     |
| Stewart     | Michael      | Ava Harrison's Captivating Welcoming Enchanting Harborview Point      | 1978-04-13     |
| Campbell    | Charlotte    | Samuel Griffin's Cedarwood Heights                                    | 1969-03-24     |
| Turner      | Emma         | Realm of Harper Nelson                                                | 1909-06-17     |
| Cruz        | Isabella     | Destiny's Grace Mitchell                                              | 1966-01-06     |
| Martin      | Grace        | Henry Crawford's Peaceful Autumnwood Grove                            | 1960-12-20     |
| Nelson      | Ella         | Tales from Majestic Surreal Colorful Fairhaven Fields                 | 1911-08-04     |
| Wright      | Ava          | Dark Secrets Mia Sullivan                                             | 1972-01-08     |
| Peterson    | Alexander    | Journey to Remote Vintage Evergreen Valley                            | 1943-11-13     |
| Mendoza     | Liam         | Dark Secrets Silverlake Springs                                       | 1924-08-14     |
| Thompson    | Olivia       | Guardians of Woodland Park                                            | 2011-09-05     |
| Mendoza     | William      | Guardians of Brookside Haven                                          | 1951-07-04     |
| Cooper      | William      | Ancient Emily Hayes                                                   | 1972-01-12     |
| Kim         | Noah         | Kingdom Harper Nelson                                                 | 1956-06-18     |
| Reyes       | William      | Samuel Griffin's Enchanting Tranquil Surreal Evergreen Valley         | 1902-10-08     |
| Green       | Noah         | In the Shadow of Cosmopolitan Millstone Meadows                       | 1922-11-04     |
| Roberts     | Olivia       | Bloodlines Isabella Montgomery                                        | 1976-10-06     |
| Adams       | Mia          | Samuel Griffin's Enchanting Contemporary Contemporary Ashwood Terrace | 1924-04-05     |
| Gray        | Andrew       | Journey to Brookside Haven                                            | 1994-06-10     |
| Chavez      | Jackson      | Grace Mitchell's Remote Secluded Willowridge Crossing                 | 2010-02-22     |
| Ruiz        | Andrew       | Echoes of Silverlake Springs                                          | 2008-04-11     |
| Roberts     | David        | Voyage to Emily Hayes                                                 | 1931-11-20     |
| Ruiz        | Alexander    | Chronicles from Daniel Brooks                                         | 2011-10-15     |
| Hill        | James        | Samuel Griffin's Whispering Pines                                     | 1985-10-03     |
| Ramirez     | Zoe          | Lost in Time Samuel Griffin                                           | 1954-06-13     |
| Foster      | Isabella     | Henry Crawford's Welcoming Picturesque Lakeside Terrace               | 1908-06-21     |
| Perez       | Ethan        | Echoes of Caleb Reynolds                                              | 1988-07-02     |
| Young       | Benjamin     | Caleb Reynolds's Tranquil Urban Enigmatic Ashwood Terrace             | 2003-12-17     |
| Richardson  | Liam         | Destiny's Daniel Brooks                                               | 1970-01-01     |
| Collins     | Isabella     | Rise of Tranquil Modern Colorful Meadowbrook Springs                  | 1967-11-11     |
| Morales     | Charlotte    | Quest for the Alexander Foster                                        | 1939-03-19     |
| Nelson      | Lucas        | Destiny's Lily Anderson                                               | 2021-05-05     |
| Davis       | Olivia       | Enigma Ava Harrison                                                   | 1969-11-23     |
| White       | Benjamin     | Samuel Griffin's Historical Peaceful Modern Laurelwood Glen           | 2018-02-13     |
| Kim         | Harper       | Enigma Timeless Breathtaking Tranquil Willowdale Heights              | 1935-11-10     |
| Lee         | Liam         | Journey through Remote Remote Crestwood Hills                         | 1968-03-21     |
| Gomez       | Zoe          | Chronicles of Contemporary Welcoming Greenbriar Estates               | 1980-03-05     |
| Hall        | Isabella     | Mystery Sophia Parker                                                 | 1901-09-23     |
| Chavez      | Samuel       | Chronicles of the Daniel Brooks                                       | 1961-02-05     |
| Jones       | Abigail      | Songs of Contemporary Lakeside Terrace                                | 1914-06-24     |
| Moore       | Noah         | Starlight Elijah Turner                                               | 1961-04-01     |
| Mitchell    | Henry        | Lily Anderson's Magical Crestwood Hills                               | 1995-05-08     |
| Martin      | Mia          | Mia Sullivan's Tranquil Enchanting Exotic Silverlake Springs          | 2017-10-12     |
| Gomez       | Mia          | Whispers from Whimsical Welcoming Willowridge Crossing                | 1918-11-03     |
| Flores      | Scarlett     | Chronicles from Stonegate Terrace                                     | 1989-07-15     |
| Cox         | Jackson      | Destiny's Millstone Meadows                                           | 1943-09-16     |
| Wilson      | Sophia       | Midnight Caleb Reynolds                                               | 1935-12-06     |
| Cook        | Caleb        | Rise of Olivia Bennett                                                | 1978-11-03     |
| Gomez       | David        | Voyage to Idyllic Birchwood Springs                                   | 1973-09-14     |
| Ortiz       | Andrew       | Olivia Bennett's Majestic Eclectic Rural Willowridge Crossing         | 1927-07-22     |
| Smith       | Natalie      | Destiny's Golden Valley Meadows                                       | 1942-02-10     |
| King        | Ava          | Voyage to Lucas Thornton                                              | 2011-09-17     |
| Howard      | Elijah       | Daniel Brooks's Brookside Meadows                                     | 1998-10-22     |
| Howard      | William      | Songs of Elijah Turner                                                | 1931-06-04     |
| Moore       | Liam         | Dreams in the William Carter                                          | 2001-07-08     |
| Robinson    | Sophia       | Adventures in Tranquil Captivating Willowbrook Park                   | 1949-11-04     |
| Wood        | Emma         | Ethan Wells's Captivating Meadowview Heights                          | 1952-07-09     |
| Allen       | Jackson      | Henry Crawford's Harborview Point                                     | 1991-02-15     |
| Hall        | Charlotte    | Ancient Ethan Wells                                                   | 1916-12-14     |
| Kim         | Alexander    | Journey to Oakridge Bluffs                                            | 1985-01-01     |
| Cooper      | Sophia       | Realm of Urban Secluded Solitary Riverstone Ranch                     | 1948-04-12     |
| Hernandez   | Ethan        | Chronicles Vibrant Pictorial Whispering Pines                         | 1946-07-02     |
| Miller      | Zoe          | Henry Crawford's Solitary Enchanting Surreal Golden Valley Meadows    | 1942-05-15     |
| Jones       | Ava          | Sophia Parker's Pineview Cove                                         | 2012-05-16     |
| Roberts     | Abigail      | Samuel Griffin's Quaint Magical Oakridge Bluffs                       | 1907-08-24     |
| Nguyen      | Noah         | In the Shadow of Benjamin Mitchell                                    | 1958-08-15     |
| Thomas      | Mia          | Daniel Brooks's Meadowview Heights                                    | 1990-10-18     |
| Turner      | Emma         | Realm of Harper Nelson                                                | 1998-07-05     |
| Gutierrez   | Sophia       | Mystery Lily Anderson                                                 | 1962-03-24     |
| Foster      | Benjamin     | Lost in Time Enigmatic Tranquil Brookside Haven                       | 2014-07-05     |
| King        | Mason        | Grace Mitchell's Cosmopolitan Vintage Inviting Pineview Cove          | 2006-01-24     |
| Wilson      | Benjamin     | Ancient Harper Nelson                                                 | 2020-09-15     |
| Myers       | Lucas        | Echoes Isabella Montgomery                                            | 1978-12-18     |
| White       | Amelia       | Journey to Magical Solitary Hillcrest Glen                            | 1990-01-17     |
| Martin      | Liam         | Daniel Brooks's Inviting Meadowview Heights                           | 1916-11-16     |
| Stewart     | Mason        | Tales from Lily Anderson                                              | 1928-03-23     |
| Diaz        | Elizabeth    | Echoes of Oakridge Bluffs                                             | 1993-02-03     |
| Allen       | Natalie      | Echoes of Inviting Silverlake Springs                                 | 1912-10-21     |
| Murphy      | Emily        | Samuel Griffin's Urban Tranquil Charming Millstone Meadows            | 2003-04-16     |
| Sanders     | Lucas        | Secrets in the Henry Crawford                                         | 1929-05-03     |
| James       | Caleb        | Henry Crawford's Idyllic Hillcrest Glen                               | 1935-05-02     |
| Williams    | Ella         | Whispering Lucas Thornton                                             | 1972-01-07     |
| Mendoza     | Ava          | Midnight Welcoming Tranquil Pineview Cove                             | 1976-04-01     |
| Lopez       | Ethan        | Dark Secrets Harper Nelson                                            | 1913-08-14     |
| Nelson      | Mia          | Enchanted Charming Scenic Willowbrook Grove                           | 1933-08-11     |
| Gomez       | Samuel       | Dark Secrets Pictorial Coastal Vibrant Pinehurst Park                 | 1919-09-17     |
| Sanchez     | Elizabeth    | Chronicles of the Samuel Griffin                                      | 2020-09-24     |
| Murphy      | Jackson      | Gates of Samuel Griffin                                               | 1924-08-24     |
| Rogers      | Abigail      | Enigma Ethan Wells                                                    | 1959-07-21     |
| Gonzales    | Ella         | Chronicles of Secluded Rural Birchwood Springs                        | 1918-08-05     |
| Rodriguez   | William      | Quest for Daniel Brooks                                               | 1917-08-17     |
| Howard      | Elijah       | Daniel Brooks's Brookside Meadows                                     | 1926-08-24     |
| Hall        | Lucas        | Chronicles of Captivating Cedarwood Heights                           | 2006-07-23     |
| Mendoza     | Samuel       | Secrets of Caleb Reynolds                                             | 1999-02-23     |
| Cox         | Grace        | Dark Secrets Ava Harrison                                             | 1985-06-04     |
| Sanders     | Ava          | Elijah Turner's Vintage Brookside Meadows                             | 1946-05-02     |
| Price       | Abigail      | Hidden Benjamin Mitchell                                              | 2009-05-05     |
| Smith       | William      | Rise of Benjamin Mitchell                                             | 1952-09-13     |
| Cruz        | Lily         | Ava Harrison's Welcoming Redwood Ridge                                | 1988-04-23     |
| Edwards     | Lily         | Daniel Brooks's Stonegate Terrace                                     | 2003-09-04     |
| Smith       | Benjamin     | Quest for Golden Valley Meadows                                       | 1947-07-03     |
| Peterson    | Benjamin     | Guardians of Breathtaking Vintage Eclectic Hillcrest Glen             | 1906-10-09     |
| Sanders     | Michael      | Curse of Grace Mitchell                                               | 1904-06-13     |
| Turner      | Jackson      | Chronicles of Riverstone Ranch                                        | 1929-02-03     |
| Cook        | Amelia       | Ava Harrison's Pristine Golden Valley Meadows                         | 1906-06-05     |
| Wood        | Victoria     | Hidden Benjamin Mitchell                                              | 1976-05-01     |
| Robinson    | Natalie      | Chronicles of the William Carter                                      | 2009-10-05     |
| Ortiz       | Andrew       | Olivia Bennett's Majestic Eclectic Rural Willowridge Crossing         | 2009-02-23     |
| Cruz        | Harper       | Lily Anderson's Historical Peaceful Rural Lakeside Terrace            | 1985-06-09     |
| Martin      | Sophia       | Gates of Captivating Woodland Park                                    | 1904-03-21     |
| Wright      | Elizabeth    | King's Oakridge Bluffs                                                | 1938-01-07     |
| Gutierrez   | Andrew       | Kingdom Picturesque Hillcrest Glen                                    | 1919-12-12     |
| Long        | Samuel       | Echoes Sophia Parker                                                  | 1916-09-11     |
| Edwards     | Abigail      | Songs of Caleb Reynolds                                               | 1927-03-20     |
| Myers       | Daniel       | Elijah Turner's Stonegate Terrace                                     | 1905-12-13     |
| Morgan      | Isabella     | Enigma Emily Hayes                                                    | 1948-11-09     |
| Cruz        | Scarlett     | Grace Mitchell's Pictorial Whispering Pines                           | 1971-03-05     |
| Roberts     | Olivia       | Bloodlines Isabella Montgomery                                        | 1924-09-01     |
| Morales     | Samuel       | Guardians of Remote Stonebridge Ridge                                 | 1917-08-02     |
| Cox         | Benjamin     | Enigma Olivia Bennett                                                 | 1989-06-13     |
| Castillo    | Olivia       | Dark Secrets Mia Sullivan                                             | 1991-04-02     |
| Garcia      | Sophia       | Elijah Turner's Coastal Riverstone Ranch                              | 1904-07-15     |
| Wilson      | Jackson      | Dreams in the Harper Nelson                                           | 1956-09-02     |
| Moore       | Emma         | Daniel Brooks's Solitary Redwood Ridge                                | 1992-12-04     |
| Stewart     | Samuel       | Legacy from Lakeshore Landing                                         | 2002-07-07     |
| Roberts     | David        | Voyage to Emily Hayes                                                 | 1964-08-10     |
| Turner      | Emma         | Realm of Harper Nelson                                                | 1912-01-15     |
| Ward        | Samuel       | Lost and Found Remote Sprawling Secluded Laurelwood Glen              | 1997-11-22     |
| Murphy      | Emily        | Samuel Griffin's Urban Tranquil Charming Millstone Meadows            | 1946-07-20     |
| Kim         | Mia          | Secrets of Charming Eclectic Birchwood Springs                        | 1918-05-04     |
| Perez       | Jackson      | Adventures in Silverlake Springs                                      | 1938-02-07     |
| Mitchell    | Sophia       | Isabella Montgomery's Lakeshore Landing                               | 2005-09-15     |
| Jimenez     | Mia          | Legends of Mia Sullivan                                               | 2020-04-24     |
| Wilson      | Sophia       | Midnight Caleb Reynolds                                               | 1957-03-01     |
| Edwards     | Charlotte    | Gates of Hidden Lush Ashwood Terrace                                  | 2012-09-08     |
| Clark       | William      | City of Magical Whimsical Rivertown Crossing                          | 2003-01-11     |
| Brooks      | Andrew       | Charlotte Taylor's Scenic Pristine Historical Sunflower Valley        | 1995-10-13     |
| Perez       | Lily         | William Carter's Remote Exotic Springvale Meadows                     | 1974-05-17     |
